# of tokens, conf, # of clusters, aes_ni, detected, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
1k, 1, 1, 0, true, 10, 2074.2, 62.05, 10, 6972.1, 251.36
1k, 1, 1, 0, false, 10, 2072.3, 109.29, 10, 2253.2, 94.25
1k, 1, 1, 1, true, 10, 1604.1, 49.53, 10, 6567.8, 231.71
1k, 1, 1, 1, false, 10, 1592.5, 91.55, 10, 2279.3, 106.01
1k, 2, 2, 0, true, 10, 1675.0, 76.05, 10, 1117.8, 83.89
1k, 2, 2, 0, false, 10, 2070.0, 135.06, 10, 2751.6, 209.21
1k, 2, 2, 1, true, 10, 1288.4, 25.66, 10, 1141.4, 115.04
1k, 2, 2, 1, false, 10, 1678.0, 115.75, 10, 2905.9, 85.39
1k, 2, 4, 0, true, 10, 1751.6, 98.03, 10, 1735.8, 134.18
1k, 2, 4, 0, false, 10, 2206.8, 131.82, 10, 2721.0, 161.56
1k, 2, 4, 1, true, 10, 1218.9, 20.35, 10, 1816.0, 199.57
1k, 2, 4, 1, false, 10, 1727.1, 99.99, 10, 2633.5, 180.69
1k, 2, 6, 0, true, 10, 1713.2, 113.7, 10, 566.0, 35.36
1k, 2, 6, 0, false, 10, 2221.6, 81.45, 10, 2294.2, 155.45
1k, 2, 6, 1, true, 10, 1235.0, 26.84, 10, 512.5, 26.28
1k, 2, 6, 1, false, 10, 1739.7, 70.25, 10, 2239.9, 166.76
1k, 3, 1, 0, true, 10, 1740.4, 92.37, 10, 458.4, 44.37
1k, 3, 1, 0, false, 10, 2173.0, 120.89, 10, 2522.2, 200.18
1k, 3, 1, 1, true, 10, 1187.3, 82.08, 10, 410.7, 28.05
1k, 3, 1, 1, false, 10, 1685.9, 149.8, 10, 2340.9, 124.32
1k, 4, 1, 0, true, 10, 2068.5, 188.78, 10, 9831.7, 772.59
1k, 4, 1, 0, false, 10, 2415.9, 290.28, 10, 1940.7, 233.3
1k, 4, 1, 1, true, 10, 1675.1, 84.06, 10, 8995.8, 429.24
1k, 4, 1, 1, false, 10, 2114.2, 234.35, 10, 2083.3, 187.72
1k, 5, 2, 0, true, 10, 1693.5, 203.14, 10, 1318.1, 89.83
1k, 5, 2, 0, false, 10, 2052.5, 224.46, 10, 2173.2, 129.37
1k, 5, 2, 1, true, 10, 1364.3, 83.09, 10, 1277.9, 140.54
1k, 5, 2, 1, false, 10, 1760.9, 184.69, 10, 2057.5, 77.55
1k, 5, 4, 0, true, 10, 1612.1, 65.5, 10, 1993.9, 112.46
1k, 5, 4, 0, false, 10, 2083.9, 220.57, 10, 2994.6, 156.78
1k, 5, 4, 1, true, 10, 1360.8, 128.56, 10, 2015.2, 110.32
1k, 5, 4, 1, false, 10, 1759.0, 210.73, 10, 2757.4, 108.32
1k, 5, 6, 0, true, 10, 1632.0, 87.53, 10, 1620.5, 71.95
1k, 5, 6, 0, false, 10, 1962.5, 144.29, 10, 2205.2, 136.89
1k, 5, 6, 1, true, 10, 1388.9, 162.47, 10, 1667.8, 104.88
1k, 5, 6, 1, false, 10, 1824.5, 270.17, 10, 2250.0, 144.34
1k, 6, 1, 0, true, 10, 1576.3, 64.46, 10, 546.1, 46.5
1k, 6, 1, 0, false, 10, 1957.7, 116.61, 10, 2509.5, 167.44
1k, 6, 1, 1, true, 10, 1329.8, 129.0, 10, 564.6, 43.23
