rules, conf, aes_ni, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
1000, 1, 0, 100, 789.23, 206.48, 100, 417.16, 143.84
1000, 1, 1, 100, 665.69, 204.23, 100, 408.04, 142.77
1000, 2, 0, 100, 666.95, 194.26, 100, 899541.97, 18049.35
1000, 2, 1, 100, 552.83, 197.17, 100, 831150.69, 18415.25
1000, 3, 0, 100, 766.54, 175.41, 100, 491.76, 157.18
1000, 3, 1, 100, 703.04, 159.27, 100, 483.4, 154.68
1000, 4, 0, 100, 716.84, 141.19, 100, 843722.79, 21730.43
1000, 4, 1, 100, 637.81, 135.21, 100, 811874.96, 17889.75
2000, 1, 0, 100, 883.7, 170.13, 100, 474.53, 115.24
2000, 1, 1, 100, 775.66, 180.52, 100, 491.39, 134.89
2000, 2, 0, 100, 699.88, 191.28, 100, 2011425.59, 136987.2
2000, 2, 1, 100, 560.42, 183.99, 100, 1851640.57, 117050.33
2000, 3, 0, 100, 873.24, 148.95, 100, 507.71, 172.44
2000, 3, 1, 100, 806.28, 137.86, 100, 506.7, 165.27
2000, 4, 0, 100, 736.16, 138.28, 100, 1904592.57, 130989.27
2000, 4, 1, 100, 677.55, 139.32, 100, 1850107.21, 113104.48
3000, 1, 0, 100, 1077.43, 221.54, 100, 564.82, 142.67
3000, 1, 1, 100, 901.75, 203.99, 100, 549.8, 149.45
3000, 2, 0, 100, 753.49, 172.51, 100, 3422060.87, 251162.26
3000, 2, 1, 100, 611.49, 166.56, 100, 3243338.11, 282311.04
3000, 3, 0, 100, 989.84, 174.94, 100, 609.29, 203.89
3000, 3, 1, 100, 908.37, 168.18, 100, 574.61, 186.19
3000, 4, 0, 100, 793.03, 116.69, 100, 3348188.1, 274906.72
3000, 4, 1, 100, 739.61, 135.99, 100, 3255825.56, 244832.79
4000, 1, 0, 100, 1154.11, 238.88, 100, 562.22, 173.63
4000, 1, 1, 100, 966.66, 205.78, 100, 552.58, 175.97
4000, 2, 0, 100, 775.83, 205.51, 100, 4525555.63, 342885.61
4000, 2, 1, 100, 650.56, 184.94, 100, 4426972.9, 341594.72
4000, 3, 0, 100, 1137.11, 195.19, 100, 614.76, 195.46
4000, 3, 1, 100, 1059.88, 193.72, 100, 615.18, 201.26
4000, 4, 0, 100, 824.19, 159.7, 100, 4330762.16, 360292.39
4000, 4, 1, 100, 786.11, 158.09, 100, 4362365.38, 406449.19
5000, 1, 0, 100, 992.48, 188.94, 100, 521.95, 98.27
5000, 1, 1, 100, 868.63, 179.74, 100, 524.16, 112.86
5000, 2, 0, 100, 730.69, 195.15, 100, 5490094.38, 200762.52
5000, 2, 1, 100, 643.63, 219.7, 100, 5212193.74, 230926.24
5000, 3, 0, 100, 1044.77, 178.89, 100, 578.01, 210.49
5000, 3, 1, 100, 993.79, 188.5, 100, 584.39, 199.37
5000, 4, 0, 100, 794.4, 194.97, 100, 5248404.95, 211261.27
5000, 4, 1, 100, 724.27, 171.44, 100, 5186276.61, 289541.76
6000, 1, 0, 100, 973.51, 174.08, 100, 511.01, 109.15
6000, 1, 1, 100, 848.76, 168.43, 100, 503.66, 112.45
6000, 2, 0, 100, 698.64, 190.02, 100, 6520754.99, 277588.92
