# of tokens, conf, # of clusters, aes_ni, detected, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
1k, 1, 1, 0, true, 10, 2056.1, 305.9, 10, 6995.1, 1015.54
1k, 1, 1, 0, false, 10, 2107.8, 359.02, 10, 2278.3, 196.39
1k, 1, 1, 1, true, 10, 1594.5, 64.15, 10, 6724.5, 304.21
1k, 1, 1, 1, false, 10, 1578.4, 205.77, 10, 2343.8, 220.27
1k, 2, 2, 0, true, 10, 1695.0, 156.62, 10, 1001.8, 103.13
1k, 2, 2, 0, false, 10, 2029.6, 161.84, 10, 2807.5, 249.78
1k, 2, 2, 1, true, 10, 1322.9, 160.12, 10, 1080.8, 71.91
1k, 2, 2, 1, false, 10, 1821.5, 308.11, 10, 3048.9, 269.34
1k, 2, 4, 0, true, 10, 1756.8, 92.49, 10, 1677.1, 89.53
1k, 2, 4, 0, false, 10, 2254.5, 189.82, 10, 2579.0, 122.55
1k, 2, 4, 1, true, 10, 1295.5, 240.04, 10, 1706.4, 256.08
1k, 2, 4, 1, false, 10, 1723.6, 414.04, 10, 2683.4, 307.18
1k, 2, 6, 0, true, 10, 1764.1, 98.24, 10, 542.7, 65.58
1k, 2, 6, 0, false, 10, 2448.9, 501.25, 10, 2402.9, 302.92
1k, 2, 6, 1, true, 10, 1228.7, 56.91, 10, 497.2, 39.06
1k, 2, 6, 1, false, 10, 1646.1, 126.3, 10, 2332.0, 243.7
1k, 3, 1, 0, true, 10, 1608.9, 343.16, 10, 486.5, 163.89
1k, 3, 1, 0, false, 10, 2085.6, 448.44, 10, 2435.2, 478.96
1k, 3, 1, 1, true, 10, 1303.9, 305.3, 10, 502.4, 48.84
1k, 3, 1, 1, false, 10, 1719.8, 283.79, 10, 2563.7, 335.19
1k, 4, 1, 0, true, 10, 1990.2, 249.2, 10, 9310.1, 503.92
1k, 4, 1, 0, false, 10, 2337.9, 299.85, 10, 1949.8, 190.71
1k, 4, 1, 1, true, 10, 1673.1, 178.41, 10, 8938.8, 476.25
1k, 4, 1, 1, false, 10, 2040.6, 200.82, 10, 2004.9, 227.99
1k, 5, 2, 0, true, 10, 1630.9, 216.4, 10, 1383.6, 128.26
1k, 5, 2, 0, false, 10, 2077.1, 316.29, 10, 2066.6, 109.21
1k, 5, 2, 1, true, 10, 1373.7, 193.56, 10, 1467.7, 172.26
1k, 5, 2, 1, false, 10, 1751.0, 140.13, 10, 2093.7, 352.1
1k, 5, 4, 0, true, 10, 1669.7, 268.88, 10, 1962.8, 96.35
1k, 5, 4, 0, false, 10, 1912.8, 231.4, 10, 2991.6, 225.53
1k, 5, 4, 1, true, 10, 1423.1, 192.84, 10, 1949.3, 107.29
1k, 5, 4, 1, false, 10, 1777.0, 389.79, 10, 2901.6, 235.44
1k, 5, 6, 0, true, 10, 1678.8, 130.84, 10, 1654.6, 197.31
1k, 5, 6, 0, false, 10, 1947.4, 153.01, 10, 2150.5, 202.4
1k, 5, 6, 1, true, 10, 1385.4, 217.76, 10, 1705.5, 154.64
1k, 5, 6, 1, false, 10, 1734.9, 220.52, 10, 2321.8, 455.09
1k, 6, 1, 0, true, 10, 1724.9, 232.39, 10, 585.6, 151.24
