conf, # of clusters, key, 0, 1000, 2000, 4000, 8000, 16000, 32000, 64000
1, 1, total, 3861.55, 4077.73, 5054.52, 5887.16, 8385.66, 13321.2, 21755.67, 42440.23
1, 1, counter value, 582.74, 1044.23, 1643.11, 2535.52, 4981.61, 9483.66, 18060.97, 38047.83
1, 1, others 1, 136.08, 124.65, 137.46, 136.25, 137.36, 139.64, 137.76, 137.62
1, 1, others 2, 183.11, 164.16, 178.96, 178.99, 178.49, 206.77, 269.09, 210.63
1, 1, others 3, 123.17, 108.06, 123.4, 122.55, 122.47, 129.01, 122.51, 120.37
1, 1, others 4, 444.69, 393.94, 394.39, 437.99, 441.22, 498.85, 486.82, 428.4
1, 1, aes 1, 261.46, 235.28, 259.03, 280.92, 266.53, 299.16, 277.85, 301.41
1, 1, aes 2, 219.24, 195.35, 219.2, 218.72, 221.12, 229.04, 221.28, 223.76
1, 1, aes init, 1203.24, 1181.51, 1391.63, 1265.28, 1325.2, 1613.83, 1470.02, 2233.16
2, 2, total, 3138.09, 3942.32, 3416.85, 3571.49, 3290.52, 3482.44, 3958.17, 3679.2
2, 2, counter value, 157.91, 178.2, 176.85, 190.24, 163.7, 190.95, 206.44, 178.7
2, 2, others 1, 204.53, 223.56, 223.17, 222.26, 222.37, 227.56, 271.19, 228.18
2, 2, others 2, 275.03, 314.69, 606.87, 312.725, 289.77, 315.77, 367.76, 621.52
2, 2, aes 1, 221.95, 259.49, 261.17, 260.76, 236.26, 257.66, 298.37, 293.44
2, 2, aes 2, 190.74, 223.18, 220.7, 218.73, 198.53, 230.28, 255.89, 306.11
2, 2, aes init, 1284.08, 1314.86, 712.08, 1445.58, 1320.69, 1337.27, 1484.33, 823.51
2, 4, total, 3306.7, 3486.5, 1231.65, 3536.62, 3861.06, 3920.12, 3418.79, 3437.97
2, 4, counter value, 154.18, 177.31, 62.06, 176.21, 183.93, 181.3, 175.18, 175.66
2, 4, others 1, 199.74, 226.93, 79.56, 228.48, 227.97, 223.86, 229.0, 225.05
2, 4, others 2, 277.375, 315.485, 108.525, 390.125, 329.745, 313.15, 311.29, 313.82
2, 4, aes 1, 241.39, 260.87, 91.14, 256.23, 326.44, 713.47, 256.46, 261.35
2, 4, aes 2, 193.49, 220.05, 76.94, 222.22, 224.53, 220.98, 221.81, 219.5
2, 4, aes init, 1418.16, 1363.38, 494.97, 1265.43, 1625.54, 1344.2, 1283.53, 1321.73
2, 6, total, 3676.5, 3024.22, 3380.67, 3503.62, 3436.62, 3601.95, 3512.73, 3476.24
2, 6, counter value, 190.73, 156.43, 177.55, 177.62, 178.21, 177.84, 175.32, 176.39
2, 6, others 1, 231.07, 200.29, 221.87, 223.13, 219.68, 235.48, 230.22, 230.79
2, 6, others 2, 396.425, 272.135, 315.615, 312.8, 312.01, 315.535, 316.88, 315.04
2, 6, aes 1, 259.53, 228.16, 258.36, 259.82, 255.76, 264.01, 254.78, 256.08
2, 6, aes 2, 223.33, 191.09, 218.75, 219.59, 223.94, 221.16, 220.35, 218.29
2, 6, aes init, 1369.03, 1173.69, 1266.09, 1390.66, 1329.13, 1443.22, 1359.52, 1357.18
3, 1, total, 3886.01, 3734.01, 3539.34, 3703.44, 4880.94, 3603.02, 3465.33, 3629.57
3, 1, counter value, 143.6, 143.97, 136.57, 138.16, 187.33, 135.92, 137.89, 136.36
3, 1, others 1, 141.3, 136.66, 138.84, 145.21, 189.42, 139.08, 134.61, 136.15
3, 1, others 2, 188.97, 187.59, 182.2, 181.91, 242.44, 184.18, 181.14, 184.7
3, 1, others 3, 161.43, 149.87, 145.5, 145.56, 188.6, 146.24, 146.82, 146.24
3, 1, others 4, 501.83, 484.54, 1035.38, 467.59, 609.56, 470.25, 467.52, 463.05
3, 1, aes 1, 268.54, 267.29, 260.56, 274.14, 367.12, 260.54, 259.31, 258.11
3, 1, aes 2, 229.06, 223.8, 219.47, 220.92, 288.1, 220.44, 221.12, 225.32
3, 1, aes init, 1525.61, 1425.21, 714.61, 1423.62, 1934.0, 1336.25, 1207.03, 1340.82
4, 1, total, 3692.14, 4854.31, 4860.18, 5875.96, 8988.37, 13475.66, 22470.82, 49813.69
4, 1, counter value, 573.53, 1348.36, 1431.4, 2562.11, 5570.71, 10037.17, 18911.92, 45822.99
4, 1, others 1, 116.8, 144.34, 120.53, 136.89, 144.69, 136.7, 136.65, 156.07
4, 1, others 2, 190.12, 225.33, 189.14, 220.51, 232.21, 240.9, 221.61, 261.73
4, 1, others 3, 516.07, 495.95, 363.63, 395.74, 400.85, 432.83, 505.77, 504.11
4, 1, aes 1, 225.04, 290.71, 226.36, 257.58, 300.42, 287.94, 273.04, 351.3
4, 1, aes 2, 188.23, 220.0, 706.69, 216.59, 218.21, 221.23, 218.7, 249.54
4, 1, xor 1, 345.61, 374.85, 318.96, 369.2, 373.0, 365.07, 376.98, 468.93
